Pais_traduzido,Ano,num_atletas_unicos,idade_media,num_eventos,porcentagem_feminino,hhi_esportes,pct_jovens_menor_23,pib_dolar,pop_total,gastos_edu_pib_perc,pontuacao_total
Noruega,2012,41,27.536585365853657,35,43.90243902439025,0.15526472337894118,19.51219512195122,512.777309840997,5.018573,7.32766008377075,9.0
Noruega,2016,48,28.0625,39,52.083333333333336,0.1883680555555556,12.5,370.95654761904797,5.234519,7.98444986343384,4.0
Nova Zelândia,2012,160,26.36875,85,49.375,0.12031250000000004,26.875,176.210710655208,4.4081,6.53085327148438,27.0
Nova Zelândia,2016,193,26.088082901554404,99,49.740932642487046,0.10945260275443637,22.797927461139896,188.898209220167,4.7141,5.50559997558594,33.0
Paquistão,2012,8,31.875,2,0.0,0.78125,0.0,250.10696610470401,207.667125,1.97879004478455,0.0
Paquistão,2016,5,21.8,5,40.0,0.3600000000000001,60.0,313.630000130435,220.138869,2.41721177101135,0.0
Paraguai,2012,7,22.428571428571427,9,57.14285714285714,0.22448979591836732,57.14285714285714,33.271921136315,5.897008,3.668790102005,0.0
Paraguai,2016,11,29.545454545454547,11,45.45454545454545,0.15702479338842976,9.090909090909092,36.0897002229461,6.249126,3.4349799156189,0.0
Países Baixos,2012,173,27.254335260115607,95,45.664739884393065,0.12011761168097831,15.606936416184972,845.689017065625,16.754962,5.4102201461792,38.0
Países Baixos,2016,237,26.869198312236286,122,55.69620253164557,0.08821591981342022,16.033755274261605,797.163949289885,17.030314,5.47959995269775,42.0
Peru,2012,16,24.3125,14,43.75,0.171875,31.25,192.65002164858302,29.550366,2.92276000976562,0.0
Peru,2016,29,26.448275862068964,28,41.37931034482759,0.262782401902497,34.48275862068966,191.898104390379,30.866494,3.81316995620728,0.0
Polônia,2012,210,26.514285714285716,148,40.95238095238095,0.10453514739229025,16.666666666666664,498.14864970265995,38.063164,4.86159992218018,16.0
Polônia,2016,234,27.22222222222222,144,40.598290598290596,0.11753963036014319,12.82051282051282,473.259583969643,37.970087,4.6591100692749,18.0
Portugal,2012,76,28.06578947368421,75,42.10526315789473,0.15512465373961212,10.526315789473683,216.536676771973,10.514844,4.94940996170044,2.0
Portugal,2016,90,27.866666666666667,61,32.22222222222222,0.13061728395061725,22.22222222222222,206.305431241638,10.325452,4.7709059715271,1.0
Quirguistão,2012,14,22.714285714285715,15,21.428571428571427,0.16326530612244897,42.857142857142854,6.6051428843621505,5.652076,7.38422012329102,0.0
Quirguistão,2016,18,25.22222222222222,16,38.88888888888889,0.2592592592592593,22.22222222222222,6.8130953791187,6.1753375,6.58615016937256,0.0
Quiribati,2012,3,21.333333333333332,3,33.33333333333333,0.5555555555555556,66.66666666666666,0.207001557767135,0.112284,13.4276657104492,0.0
Quiribati,2016,3,23.333333333333332,3,33.33333333333333,0.5555555555555556,66.66666666666666,0.20646783404514502,0.118478,13.4829998016357,0.0
Quênia,2012,46,24.652173913043477,22,41.30434782608695,0.8364839319470697,28.26086956521739,56.396704671577695,43.888303,4.93121004104614,19.0
Quênia,2016,73,26.78082191780822,28,39.726027397260275,0.4265340589228749,23.28767123287671,74.8151441638931,48.139687,4.66556310653687,30.0
Reino Unido,2012,525,26.22095238095238,245,48.952380952380956,0.057697959183673465,24.761904761904763,2707.0897266146403,63.700215,5.57887411117554,133.0
Reino Unido,2016,353,27.127478753541077,195,43.90934844192634,0.09141394281311943,18.69688385269122,2689.10656689961,65.611593,5.42795991897583,141.0
República Centro-Africana,2012,4,24.5,4,50.0,0.5,0.0,2.51012651222831,4.610848,1.98034727573395,0.0
República Centro-Africana,2016,5,21.4,5,60.0,0.28,60.0,1.8250181446559501,4.713663,1.75408899784088,0.0
Romênia,2012,99,26.272727272727273,73,46.464646464646464,0.10723395571880422,24.242424242424242,179.117323107087,20.058035,2.82322001457214,18.0
Romênia,2016,95,26.71578947368421,62,64.21052631578948,0.12509695290858727,18.947368421052634,185.29075924884398,19.702267,3.02559995651245,7.0
Ruanda,2012,7,23.714285714285715,7,28.57142857142857,0.30612244897959184,28.57142857142857,7.6547615735499095,10.829901,4.42103004455566,0.0
Ruanda,2016,2,31.0,2,50.0,0.5,0.0,8.69527230091019,11.919183,3.43483996391296,0.0
Rússia,2012,427,26.10304449648712,238,52.69320843091335,0.08190139802225647,20.60889929742389,2208.29355387842,143.378447,3.79310011863708,154.0
Rússia,2016,281,26.17437722419929,180,50.177935943060504,0.05591367890477577,27.75800711743772,1276.78635088114,145.01546,3.76044011116028,111.0
Samoa,2012,8,27.5,9,37.5,0.1875,37.5,0.7731416611655479,0.196498,4.89170742034912,0.0
Samoa,2016,5,23.0,5,40.0,0.3600000000000001,40.0,0.8439247966974209,0.203499,4.34968376159668,0.0
Seicheles,2012,5,19.6,5,40.0,0.28,80.0,1.0894078391970898,0.088303,2.54216003417969,0.0
Seicheles,2016,10,26.1,10,20.0,0.20000000000000004,30.0,1.56851334814463,0.094677,4.0213098526001,0.0
Senegal,2012,31,24.741935483870968,16,22.58064516129032,0.35067637877211233,45.16129032258064,17.660870411523497,13.310495,4.77698993682861,0.0
Senegal,2016,22,29.0,11,72.72727272727273,0.3305785123966942,9.090909090909092,19.040312333186403,15.034521,5.11309003829956,0.0
Serra Leoa,2012,2,25.5,2,50.0,1.0,50.0,5.92768421915278,6.55108,2.88159847259521,0.0
Singapura,2012,23,23.52173913043478,29,65.21739130434783,0.16824196597353494,47.82608695652174,295.09288807658896,5.312437,3.07085990905762,2.0
Singapura,2016,25,24.6,24,64.0,0.2352,32.0,319.053943915005,5.607283,2.87133049964905,3.0
Sri Lanka,2012,7,25.857142857142858,8,42.857142857142854,0.2653061224489796,28.57142857142857,70.4472168913366,21.169458,1.45342004299164,0.0
Sri Lanka,2016,9,28.333333333333332,10,22.22222222222222,0.20987654320987653,22.22222222222222,88.01228220583569,21.209,3.22929000854492,0.0
Suécia,2012,133,28.37593984962406,81,58.64661654135338,0.10283226864152863,19.548872180451127,549.742183874355,9.519374,7.5369701385498,14.0
Suécia,2016,150,27.64,79,57.333333333333336,0.11982222222222223,20.0,514.218206628325,9.923085,7.61861991882324,21.0
Suíça,2012,98,27.081632653061224,71,28.57142857142857,0.08663057059558518,26.53061224489796,686.42022155799,7.996861,4.89862012863159,10.0
